genome	domain	taxon_name
643348515	Bacteria	Bifidobacterium animalis lactis AD011
643348516	Bacteria	Bifidobacterium longum sv. Infantis
643348545	Bacteria	Escherichia coli O81 ED1a
643348551	Bacteria	Escherichia coli SE11
643348558	Bacteria	Helicobacter pylori G27
643348559	Bacteria	Helicobacter pylori P12
643348561	Bacteria	Listeria monocytogenes sv. 4a HCC23
643692022	Bacteria	"Escherichia fergusonii UMN026, ATCC 35469"
643692026	Bacteria	Laribacter hongkongensis HLHK9
643886006	Bacteria	Roseburia inulinivorans DSM 16841
643886007	Bacteria	Clostridiales sp. 1_7_47FAA
643886014	Bacteria	Lactobacillus acidophilus ATCC 4796
643886040	Bacteria	Bifidobacterium bifidum NCIMB 41171
643886044	Bacteria	Lactobacillus hilgardii ATCC 8290
643886047	Bacteria	Lactobacillus ultunensis DSM 16047
643886048	Bacteria	"Lactobacillus salivarius HO66, ATCC 11741"
643886051	Bacteria	Lactobacillus paracasei ATCC 25302
643886056	Bacteria	Acidaminococcus sp. D21
643886059	Bacteria	Lactobacillus brevis gravesensis ATCC 27305
643886061	Bacteria	Lactobacillus fermentum ATCC 14931
643886062	Bacteria	Lactobacillus buchneri ATCC 11577
643886064	Bacteria	Enterococcus faecalis TX1322
643886065	Bacteria	Enterococcus faecalis TX0104
643886102	Bacteria	"Bifidobacterium breve DSM 20213, JCM 1192"
643886103	Bacteria	"Holdemania filiformis VPI J1-31B-1, DSM 12042"
643886109	Bacteria	Leuconostoc mesenteroides cremoris ATCC 19254
643886110	Bacteria	Catenibacterium mitsuokai DSM 15897
643886111	Bacteria	Bacteroides cellulosilyticus DSM 14838
643886112	Bacteria	Clostridium asparagiforme DSM 15981
643886116	Bacteria	Coprococcus comes ATCC 27758
643886117	Bacteria	Proteus penneri ATCC 35198
643886120	Bacteria	Enterococcus faecium TX1330
643886127	Bacteria	Lactobacillus rhamnosus LMS2-1
643886139	Bacteria	Lactobacillus paracasei 8700:2
643886140	Bacteria	Bifidobacterium longum longum ATCC 55813
643886141	Bacteria	Helicobacter cinaedi CCUG 18818
643886197	Bacteria	"Bacteroides coprophilus DSM 18228, JCM 13818"
643886199	Bacteria	Blautia hydrogenotrophica DSM 10507
643886203	Bacteria	Eubacterium hallii DSM 3353
643886206	Bacteria	"Clostridium methylpentosum R2, DSM 5476"
643886213	Bacteria	"Helicobacter canadensis MIT 98-5491, ATCC 700968"
643886216	Bacteria	Bifidobacterium longum longum CCUG 52486
643886218	Bacteria	Helicobacter pullorum MIT 98-5489
644736329	Bacteria	"Bifidobacterium animalis lactis Bl-04, ATCC SD5219"
644736330	Bacteria	Bifidobacterium animalis lactis DSM 10140
644736366	Bacteria	Eubacterium eligens ATCC 27750
644736367	Bacteria	Eubacterium rectale ATCC 33656
644736374	Bacteria	Helicobacter pylori B38
644736381	Bacteria	Lactobacillus plantarum JDM1
644736382	Bacteria	Lactobacillus rhamnosus GG
644736383	Bacteria	Lactobacillus rhamnosus Lc 705
645058757	Bacteria	Acinetobacter baumannii AB900
645058782	Bacteria	Parabacteroides sp. 2_1_7
645058788	Bacteria	Bacteroides fragilis 3_1_12
645058793	Bacteria	Weissella paramesenteroides ATCC 33313
645058833	Bacteria	Fusobacterium nucleatum subsp. animalis D11
645058835	Bacteria	Escherichia coli D9
645951804	Bacteria	Fusobacterium gonidiaformans ATCC 25563
645951831	Bacteria	Faecalibacterium prausnitzii A2-165
645951834	Bacteria	Butyrivibrio crossotus DSM 2876
645951835	Bacteria	Hungatella hathewayi DSM 13479
645951838	Bacteria	Lactobacillus antri DSM 16041
645951865	Bacteria	Lactobacillus helveticus DSM 20075
645951866	Bacteria	Fusobacterium gonidiaformans 3-1-5R
646206250	Bacteria	Oxalobacter formigenes HOxBLS
646206251	Bacteria	Coprobacillus sp. D7
646206252	Bacteria	Fusobacterium nucleatum animalis 7_1
646206253	Bacteria	Fusobacterium nucleatum subsp. vincentii 4_1_13
646206254	Bacteria	Fusobacterium mortiferum ATCC 9817
646206255	Bacteria	Helicobacter winghamensis ATCC BAA-430
646206256	Bacteria	Citrobacter sp. 30_2
646206258	Bacteria	Bacteroides dorei 5_1_36/D4
646206259	Bacteria	Escherichia sp. 3_2_53FAA
646206260	Bacteria	Clostridium sp. 7_2_43FAA
646206261	Bacteria	Escherichia sp. 1_1_43
646206262	Bacteria	Fusobacterium periodonticum 2_1_31
646206263	Bacteria	Bacteroides sp. 9_1_42FAA
646206264	Bacteria	Bacteroides sp. D1
646206265	Bacteria	Oxalobacter formigenes OXCC13
646206266	Bacteria	Bacteroides sp. 2_2_4
646206269	Bacteria	Acinetobacter junii SH205
646206272	Bacteria	Bacteroides sp. 1_1_6
646206274	Bacteria	Bacteroides sp. 4_3_47FAA
646206275	Bacteria	Fusobacterium varium ATCC 27725
646206279	Bacteria	Parabacteroides sp. D13
646311914	Bacteria	Clostridioides difficile CD196
646311915	Bacteria	Clostridioides difficile R20291
646311926	Bacteria	"Escherichia coli K-12, MG1655"
646311946	Bacteria	"Mycoplasma hominis PG21, ATCC 23114"
646311965	Bacteria	"Veillonella parvula Te3, DSM 2008"
646564512	Bacteria	Bifidobacterium longum longum JDM301
646564533	Bacteria	Escherichia coli O55:H7 CB9615
646862308	Bacteria	Bifidobacterium animalis lactis BB-12
646862309	Bacteria	Bifidobacterium animalis lactis V9
646862322	Bacteria	Escherichia coli O44:H18 042 (EAEC)
646862326	Bacteria	Escherichia coli O18:K1:H7 IHE3034
646862327	Bacteria	Escherichia coli O150:H5 SE15
646862330	Bacteria	Helicobacter pylori 51
646862331	Bacteria	Helicobacter pylori v225
646862332	Bacteria	Lactobacillus rhamnosus GG
647000209	Bacteria	Acetomicrobium hydrogeniformans ATCC BAA-1850
647000212	Bacteria	Bacteroides ovatus SD CC 2a
647000213	Bacteria	Bacteroides ovatus SD CMC 3f
647000214	Bacteria	Bacteroides vulgatus PC510
647000215	Bacteria	Bacteroides xylanisolvens SD CC 1b
647000227	Bacteria	Clostridioides difficile NAP07
647000228	Bacteria	Clostridioides difficile NAP08
647000230	Bacteria	Corynebacterium ammoniagenes DSM 20306
647000237	Bacteria	Edwardsiella tarda ATCC 23685
647000238	Bacteria	Enterococcus faecium PC4.1
647000243	Bacteria	Enterococcus faecium E1071
647000258	Bacteria	Grimontia hollisae CIP 101886
647000263	Bacteria	Lactobacillus amylolyticus DSM 11664
647000330	Bacteria	Turicibacter sanguinis PC909
647000333	Bacteria	Vibrio cholerae CT 5369-93
647000334	Bacteria	Vibrio cholerae sv. Inaba INDRE 91/1
647000335	Bacteria	Vibrio cholerae sv. O1 RC27
647000337	Bacteria	Vibrio furnissii sv. II CIP 102972
647000340	Bacteria	Vibrio mimicus MB-451
647000343	Bacteria	Vibrio sp. RC341
647533110	Bacteria	Bacteroides sp. 2_1_16
647533111	Bacteria	Bacteroides sp. 2_1_22
647533112	Bacteria	Bacteroides sp. 2_1_33B
647533113	Bacteria	Bacteroides sp. 3_1_33FAA
647533114	Bacteria	Bacteroides sp. D20
647533145	Bacteria	"Enterococcus faecalis X98, ATCC 27276"
647533146	Bacteria	"Enterococcus faecium 1,141,733"
647533150	Bacteria	"Enterococcus faecium 1,231,501"
647533153	Bacteria	Enterococcus faecium Com12
647533154	Bacteria	Enterococcus faecium Com15
647533168	Bacteria	Fusobacterium periodonticum 1_1_41FAA
647533173	Bacteria	"Helicobacter canadensis MIT 98-5491, ATCC 700968"
647533174	Bacteria	Klebsiella sp. 1_1_55
647533176	Bacteria	Lactobacillus crispatus 125-2-CHN
647533194	Bacteria	Pediococcus acidilactici 7_4
647533231	Bacteria	Streptococcus sp. 2_1_36FAA
647533241	Bacteria	Veillonella sp. 3_1_44
647533242	Bacteria	Veillonella sp. 6_1_27
648028025	Bacteria	Escherichia coli O26:H11 11368
648028031	Bacteria	Helicobacter pylori PeCan4
648028032	Bacteria	Helicobacter pylori SJM180
648231701	Bacteria	Campylobacter jejuni jejuni M1
648231704	Bacteria	Edwardsiella tarda FL6-60
648231706	Bacteria	Escherichia coli AIEC UM146
648231708	Bacteria	Helicobacter pylori 908
648231709	Bacteria	Helicobacter pylori Cuz20
648231710	Bacteria	Helicobacter pylori Sat464
648231711	Bacteria	Lactobacillus fermentum CECT 5716
648231712	Bacteria	Lactobacillus salivarius CECT 5713
648276627	Bacteria	Campylobacter coli JV20
648276641	Bacteria	Enterococcus faecalis TX2134
648276649	Bacteria	Escherichia coli MS 107-1
648276650	Bacteria	Escherichia coli MS 115-1
648276651	Bacteria	Escherichia coli MS 116-1
648276652	Bacteria	Escherichia coli MS 119-7
648276653	Bacteria	Escherichia coli MS 124-1
648276654	Bacteria	Escherichia coli MS 146-1
648276655	Bacteria	Escherichia coli MS 175-1
648276656	Bacteria	Escherichia coli MS 182-1
648276657	Bacteria	Escherichia coli MS 185-1
648276658	Bacteria	Escherichia coli MS 187-1
648276659	Bacteria	Escherichia coli MS 196-1
648276660	Bacteria	Escherichia coli MS 198-1
648276661	Bacteria	Escherichia coli MS 200-1
648276662	Bacteria	Escherichia coli MS 21-1
648276663	Bacteria	Escherichia coli MS 45-1
648276664	Bacteria	Escherichia coli MS 69-1
648276665	Bacteria	Escherichia coli MS 78-1
648276666	Bacteria	Escherichia coli MS 84-1
648861000	Bacteria	Bacteroides sp. 1_1_14
648861001	Bacteria	Parabacteroides sp. 20_3
648861002	Bacteria	Bacteroides sp. 3_1_19
648861003	Bacteria	Bacteroides sp. 3_1_23
648861004	Bacteria	Bacteroides sp. D22
648861006	Bacteria	Burkholderiales bacterium 1_1_47
649633015	Bacteria	Bifidobacterium bifidum PRL2010
649633016	Bacteria	Bifidobacterium bifidum S17
649633017	Bacteria	Bifidobacterium longum infantis 157F-NC
649633018	Bacteria	Bifidobacterium longum longum BBMN68
649633019	Bacteria	Bifidobacterium longum longum JCM 1217
649633027	Bacteria	Campylobacter jejuni jejuni ICDCCJ07001
649633055	Bacteria	Helicobacter pylori B8
649633062	Bacteria	Lactobacillus delbrueckii bulgaricus ND02
649633078	Bacteria	"Odoribacter splanchnicus 1651/6, DSM 20712"
649989907	Bacteria	Anaerostipes sp. 3_2_56FAA
649989908	Bacteria	Arcobacter butzleri JV22
649989912	Bacteria	Bacteroides eggerthii 1_2_48FAA
649989913	Bacteria	Bacteroides sp. 3_1_40A
649989914	Bacteria	Bacteroides sp. 4_1_36
649989916	Bacteria	Bifidobacterium sp. 12_1_47BFAA
649989919	Bacteria	Campylobacter upsaliensis JV21
649989921	Bacteria	Clostridium sp. HGF2
649989922	Bacteria	Clostridium symbiosum WAL-14163
649989923	Bacteria	Clostridium symbiosum WAL-14673
649989924	Bacteria	Coprobacillus sp. 29_1
649989930	Bacteria	Eggerthella sp. 1_3_56FAA
649989945	Bacteria	Erysipelotrichaceae bacterium sp. 3_1_53
649989948	Bacteria	Escherichia coli MS 145-7
649989951	Bacteria	Faecalibacterium cf. prausnitzii KLE1255
649989957	Bacteria	Lachnospiraceae bacterium sp. 5_1_63FAA
649989958	Bacteria	Lachnospiraceae bacterium sp. 8_1_57FAA
649989981	Bacteria	Pediococcus acidilactici DSM 20284
649989983	Bacteria	Phascolarctobacterium succinatutens YIT 12067
649989989	Bacteria	Prevotella salivae DSM 15606
649989994	Bacteria	Ralstonia sp. 5_7_47FAA
649990001	Bacteria	Streptococcus anginosus 1_2_62CV
649990006	Bacteria	Streptococcus equinus ATCC 9812
649990019	Bacteria	Succinatimonas hippei YIT 12066
649990021	Bacteria	Sutterella wadsworthensis 3_1_45B
650377904	Bacteria	Alistipes shahii WAL 8301
650377910	Bacteria	Bacteroides fragilis 638R
650377911	Bacteria	Bacteroides xylanisolvens XB1A
650377912	Bacteria	Bifidobacterium longum longum F8
650377919	Bacteria	Butyrivibrio fibrisolvens 16/4
650377923	Bacteria	Clostridium cf. saccharolyticum K10
650377925	Bacteria	Coprococcus catus GD/7
650377928	Bacteria	Enterobacter cloacae cloacae NCTC 9394
650377929	Bacteria	Enterococcus faecalis 62
650377930	Bacteria	Enterococcus sp. 7L76
650377935	Bacteria	Faecalitalea cylindroides T2-87
650377936	Bacteria	Eubacterium rectale DSM 17629
650377937	Bacteria	Eubacterium rectale M104/1
650377938	Bacteria	Eubacterium siraeum 70/3
650377940	Bacteria	Faecalibacterium prausnitzii SL3/3
650377941	Bacteria	Faecalibacterium prausnitzii L2-6
650377943	Bacteria	"Gordonibacter pamelaeae 7-10-1-bT, DSM 19378"
650377949	Bacteria	Helicobacter pylori Gambia94/24
650377950	Bacteria	Helicobacter pylori India7
650377951	Bacteria	Helicobacter pylori Lithuania75
650377952	Bacteria	Helicobacter pylori SouthAfrica7
650377954	Bacteria	Lactobacillus delbrueckii bulgaricus 2038
650377957	Bacteria	Listeria monocytogenes sv. 4a L99
650377958	Bacteria	Megamonas hypermegale ART12/1
650377964	Bacteria	Roseburia intestinalis M50/1
650377965	Bacteria	Roseburia intestinalis XB6B4
650377966	Bacteria	Ruminococcus bromii L2-63
650377967	Bacteria	Blautia obeum A2-162
650377968	Bacteria	Ruminococcus sp. SR1/5
650377969	Bacteria	Ruminococcus sp. 18P13
650377970	Bacteria	Ruminococcus torques L2-14
650377984	Bacteria	"Vibrio furnissii 2510/74, NCTC 11218"
650377989	Bacteria	Clostridiales sp. SS3/4
650377990	Bacteria	Anaerostipes hadrus SSC/2
650633000	Bacteria	Victivallis vadensis ATCC BAA-548
650716027	Bacteria	Clostridium sp. SY8519
650716034	Bacteria	Eggerthella sp. YY7918
650716041	Bacteria	Helicobacter bizzozeronii CIII-1
650716048	Bacteria	"Lactobacillus reuteri SD2112, ATCC 55730"
650716072	Bacteria	Porphyromonas gingivalis TDC60
651053004	Bacteria	Bifidobacterium animalis lactis CNCM I-2494
651053006	Bacteria	Bifidobacterium breve UCC2003 (NCIMB8807)
651053007	Bacteria	Bifidobacterium longum infantis JCM 1222
651053020	Bacteria	Escherichia coli DH1 (ME8569)
651053021	Bacteria	Escherichia coli LF82
651053029	Bacteria	Helicobacter pylori 2017
651053030	Bacteria	Helicobacter pylori 2018
651053031	Bacteria	Helicobacter pylori 83
651053032	Bacteria	Helicobacter pylori F16
651053033	Bacteria	Helicobacter pylori F30
651053034	Bacteria	Helicobacter pylori F32
651053035	Bacteria	Helicobacter pylori F57
651053040	Bacteria	Lactobacillus johnsonii DPC 6026
651053079	Bacteria	Yersinia enterocolitica palearctica sv. O:3 bt. 4 Y11
651285002	Bacteria	Clostridium sp. D5
651324010	Bacteria	Bacteroides clarus YIT 12056
651324011	Bacteria	Bacteroides fluxus YIT 12057
651324012	Bacteria	Bacteroides ovatus 3_8_47FAA
651324013	Bacteria	Bacteroides sp. 1_1_30
651324014	Bacteria	Bacteroides sp. 2_1_56FAA
651324027	Bacteria	Dysgonomonas mossii DSM 22836
651324028	Bacteria	Eggerthella sp. HGA1
651324032	Bacteria	Fusobacterium nucleatum subsp. animalis 11_3_2
651324045	Bacteria	Klebsiella sp. MS 92-3
651324046	Bacteria	Lachnospiraceae bacterium 1_1_57FAA
651324047	Bacteria	Lachnospiraceae bacterium 1_4_56FAA
651324049	Bacteria	Lachnospiraceae bacterium 2_1_58FAA
651324050	Bacteria	Lachnospiraceae bacterium 3_1_46FAA
651324052	Bacteria	Lachnospiraceae bacterium 6_1_37FAA
651324053	Bacteria	Lachnospiraceae bacterium 5_1_57FAA
651324054	Bacteria	Lachnospiraceae bacterium 6_1_63FAA
651324055	Bacteria	Lachnospiraceae bacterium 9_1_43BFAA
651324058	Bacteria	Lactobacillus coryniformis coryniformis KCTC 3167
651324059	Bacteria	"Lactobacillus coryniformis torquens 30, KCTC 3535"
651324061	Bacteria	"Lactobacillus fructivorans W2, KCTC 3543"
651324075	Bacteria	Neisseria macacae ATCC 33926
651324080	Bacteria	Paenibacillus sp. HGF5
651324081	Bacteria	Paenibacillus sp. HGF7
651324083	Bacteria	Paraprevotella xylaniphila YIT 11841
651324084	Bacteria	Parasutterella excrementihominis YIT 11859
651324107	Bacteria	Turicibacter sp. HGF1
2500069000	Bacteria	Lactobacillus reuteri 100-23
2502171173	Bacteria	Lactobacillus reuteri CF48-3A (Improved draft)
2511231071	Bacteria	Megasphaera elsdenii DSM 20460
2511231106	Bacteria	Acidaminococcus intestini RyC-MR95
2511231128	Bacteria	"Roseburia hominis A2-183, DSM 16839"
2511231133	Bacteria	"Enterococcus faecalis OG1RF, ATCC 47077"
2511231147	Bacteria	Helicobacter pylori Puno135
2511231165	Bacteria	Pseudomonas aeruginosa NCGM2.S1
2511231168	Bacteria	Helicobacter pylori 35A
2511231174	Bacteria	Listeria monocytogenes sv. 1/2a 10403S
2511231184	Bacteria	Listeria monocytogenes FSL R2-561
2511231190	Bacteria	Listeria monocytogenes sv. 1/2a J0161
2511231203	Bacteria	Listeria monocytogenes Finland 1988
2511231216	Bacteria	Helicobacter pylori Puno120
2512047053	Bacteria	Alistipes sp. HGB5
2512564028	Bacteria	Vibrio cholerae IEC224
2513237167	Bacteria	Bifidobacterium breve SC95
2513237168	Bacteria	Bifidobacterium longum infantis SC142
2513237169	Bacteria	Bifidobacterium breve SC154
2513237170	Bacteria	Bifidobacterium bifidum SC555
2513237171	Bacteria	Bifidobacterium longum longum SC596
2513237172	Bacteria	Bifidobacterium longum longum SC664
2513237188	Bacteria	Helicobacter pylori Shi112
2513237192	Bacteria	Helicobacter pylori Shi169
2513237203	Bacteria	Helicobacter pylori Shi417
2513237210	Bacteria	Helicobacter pylori PeCan18
2513237259	Bacteria	Pseudomonas sp. 2_1_26
2513237265	Bacteria	Klebsiella sp. 4_1_44FAA
2513237266	Bacteria	Citrobacter freundii 4_7_47CFAA
2513237267	Bacteria	Tannerella sp. 6_1_58FAA_CT1
2513237275	Bacteria	Hungatella hathewayi WAL-18680
2513237277	Bacteria	Alistipes indistinctus YIT 12060
2513237280	Bacteria	Odoribacter laneus YIT 12061
2513237287	Bacteria	Flavonifractor plautii ATCC 29863
2513237298	Bacteria	Campylobacter sp. 10_1_50
2513237299	Bacteria	Synergistes sp. 3_1_syn1
2513237311	Bacteria	Subdoligranulum sp. 4_3_54A2FAA
2513237314	Bacteria	Enterococcus saccharolyticus 30_1
2513237315	Bacteria	Clostridium clostridioforme 2_1_49FAA
2513237318	Bacteria	Prevotella stercorea DSM 18206
2513237319	Bacteria	Enterococcus faecalis PC1.1
2513237322	Bacteria	Bilophila sp. 4_1_30
2513237324	Bacteria	Desulfovibrio sp. 6_1_46AFAA
2513237325	Bacteria	Bacillus sp. 7_6_55CFAA_CT2
2513237329	Bacteria	Lachnospiraceae bacterium sp. 7_1_58FAA
2513237330	Bacteria	Fusobacterium necrophorum funduliforme 1_1_36S
2513237332	Bacteria	Erysipelotrichaceae bacterium sp. 21_3
2513237343	Bacteria	Dorea formicigenerans 4_6_53AFAA
2513237344	Bacteria	Collinsella tanakaei YIT 12063
2513237345	Bacteria	Erysipelotrichaceae sp. 2_2_44A
2513237348	Bacteria	Eubacterium sp. 3_1_31
2513237349	Bacteria	Dialister succinatiphilus YIT 11850
2513237360	Bacteria	Clostridium citroniae WAL-17108
2513237364	Bacteria	Coprobacillus sp. 8_2_54BFAA
2513237367	Bacteria	Clostridium sp. 7_3_54FAA
2513237371	Bacteria	Sutterella parvirubra YIT 11816
2513237376	Bacteria	Coprobacillus sp. 3_3_56FAA
2513237377	Bacteria	Hafnia alvei ATCC 51873
2513237385	Bacteria	Bacillus smithii 7_3_47FAA
2513237388	Bacteria	Propionibacterium sp. 5_U_42AFAA
2513237390	Bacteria	Paraprevotella clara YIT 11840
2513237395	Bacteria	Lactobacillus sp. 7_1_47FAA
2513237399	Bacteria	Megamonas funiformis YIT 11815
2515154063	Bacteria	Bacteroides thetaiotaomicron NLAE-zl-H207
2515154064	Bacteria	Bacteroides ovatus NLAE-zl-H304
2515154065	Bacteria	Bacteroides ovatus NLAE-zl-H361
2515154066	Bacteria	Bacteroides thetaiotaomicron NLAE-zl-H463
2515154067	Bacteria	Bacteroides thetaiotaomicron NLAE-zl-H492
2515154176	Bacteria	Blautia producta ATCC 27340
2516143090	Bacteria	Campylobacter jejuni jejuni LMG 9081
2518285605	Bacteria	Vibrio cholerae sv. O1 Ogava P-18785
2519899572	Bacteria	Bacillus alcalophilus ATCC 27647
2519899591	Bacteria	Bifidobacterium bifidum IF10/10
2522572064	Bacteria	Desulfitobacterium hafniense DP7 (draft 151 contigs)
