function	dehalo_27
EC:4.5.1.-
EC:4.5.1.1
EC:4.5.1.2
EC:4.5.1.3
EC:4.5.1.4
EC:4.5.1.5
EC:1.13.11.49
EC:1.97.1.8
EC:1.21.99.1
EC:1.21.99.2
EC:1.21.99.3
EC:1.21.99.4
EC:1.97.1.1
EC:1.97.1.10
EC:1.97.1.11
EC:3.8.1.-
EC:3.8.1.1
EC:3.8.1.10
EC:3.8.1.11
EC:3.8.1.2
EC:3.8.1.3
EC:3.8.1.4
EC:3.8.1.5
EC:3.8.1.6
EC:3.8.1.7
EC:3.8.1.8
EC:3.8.1.9
pfam13486

