genome	domain	taxon_name
3300002323	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP16-I4"
3300002324	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP17-I5"
3300002325	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP21-I4"
3300002326	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP13-I4"
3300002327	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP12-I4"
3300002328	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP06-I5"
3300002329	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP17-I4"
3300002330	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP19-I5"
3300002331	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP08-I5"
3300002332	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP08-I4"
3300002333	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP09-I5"
3300002414	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP12-I2"
3300002415	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP16-I2"
3300002416	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP08-I1"
3300002417	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP21-MB"
3300002418	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP09-I1"
3300002419	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP03-I1"
3300002420	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP01-I2"
3300002421	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP01-I3"
3300002422	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP02-I3"
3300002423	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP03-I2"
3300002424	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP21-I1"
3300002425	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP07-I1"
3300002426	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP12-I1"
3300002427	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP06-I1"
3300002428	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP02-I1"
3300002429	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP02-I2"
3300002430	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP01-I1"
3300002431	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP12-MB"
3300002432	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP21-I2"
3300002433	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP16-MB"
3300002434	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP13-MB"
3300002436	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP16-I1"
3300002437	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP19-I1"
3300002438	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP19-MB"
3300002440	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP06-I2"
3300002441	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP13-I1"
